item,games,avg_place,top4_rate,win_rate
EmptyBag,2156,1.36,96.66,85.25
LionessLament,231,2.67,78.79,53.68
IceblastArmor,272,3.0,74.26,48.9
Annihilator,217,3.06,75.58,41.47
AP,63,3.1,76.19,25.4
EchoingBatblades,131,3.21,72.52,42.75
SearingShortbow,251,3.25,70.12,43.03
CyclonicSlicers,168,3.31,68.45,42.86
ForceOfNature,265,3.34,70.19,26.79
RadiantField,247,3.4,69.64,32.39
SunfireCapeRadiant,25,3.4,72.0,12.0
HextechGunbladeRadiant,45,3.44,71.11,33.33
GlacialMallet,65,3.46,66.15,30.77
UwuBlaster,156,3.65,64.74,34.62
BloodthirsterRadiant,34,3.65,61.76,29.41
TacticiansScepter,31,3.65,61.29,29.03
NightHarvesterRadiant,29,3.86,65.52,17.24
SpectralGauntletRadiant,22,3.86,68.18,18.18
BattleBunnyCrossbow,386,3.86,59.33,33.68
CrystalRoseEmblemItem,26,3.92,57.69,26.92
AS,52,3.94,61.54,13.46
Core,25,3.96,52.0,12.0
FrozenHeartRadiant,66,3.98,57.58,22.73
GuinsoosRagebladeRadiant,90,3.99,62.22,20.0
TalismanOfAscension,280,4.01,59.64,17.86
SteraksGageRadiant,41,4.02,53.66,14.63
RabadonsDeathcap,10702,4.02,58.98,17.06
FlexTraitEmblemItem,1503,4.03,57.95,17.96
NightHarvester,6856,4.05,59.22,14.22
AdaptiveHelm,12850,4.06,58.35,15.5
BrambleVest,4158,4.06,58.75,14.33
PowerGauntlet,10094,4.06,58.12,15.8
MadredsBloodrazor,16897,4.07,58.9,14.71
MorellonomiconRadiant,29,4.07,55.17,20.69
UnstableConcoction,5166,4.08,57.65,14.38
BlueBuff,5154,4.08,57.8,15.52
IonicSpark,3393,4.08,58.53,14.91
ArchangelsStaff,3646,4.09,57.93,13.82
BlueBuffRadiant,67,4.09,59.7,17.91
HextechGunblade,4929,4.1,57.78,15.09
SteraksGage,8146,4.1,57.45,15.65
TitanicHydra,520,4.11,57.69,18.85
RabadonsDeathcapRadiant,253,4.12,59.68,15.42
ThiefsGloves,12896,4.13,56.8,16.3
HPTankEmblemItem,1569,4.13,56.98,15.42
CrownguardRadiant,23,4.13,60.87,0.0
StargazerEmblemItem,5052,4.13,57.3,18.41
DragonsClaw,4662,4.13,57.42,14.01
LavenderCrown,95,4.13,58.95,9.47
InfinityEdgeRadiant,84,4.14,55.95,17.86
Crownguard,10331,4.14,57.21,13.61
SpearOfShojin,14503,4.16,56.44,15.0
TacticiansRing,444,4.18,57.43,13.96
Bloodthirster,5135,4.19,55.93,13.83
FrozenHeart,19152,4.19,56.07,14.95
GuardianAngel,7812,4.19,56.58,13.47
InfinityEdge,8871,4.19,56.03,14.58
Quicksilver,6955,4.2,56.32,14.69
AhriArtifact,619,4.2,56.22,12.92
WarmogsArmor,24640,4.2,55.97,14.52
DragonsClawRadiant,33,4.21,54.55,12.12
OrnnDeathsDefiance,324,4.21,57.1,12.04
Deathblade,12088,4.22,55.8,12.61
ThiefsGlovesRadiant,236,4.22,55.51,13.98
DarkStarEmblemItem,2202,4.22,54.45,16.17
GiantSlayerRadiant,200,4.22,54.5,11.5
AstronautEmblemItem,1669,4.22,54.16,19.65
Redemption,11352,4.23,55.42,13.25
RapidFirecannonRadiant,115,4.23,51.3,21.74
OrnnInfinityForce,450,4.23,56.67,10.67
SympatheticImplantMod,972,4.24,57.51,9.98
SpaceGrooveEmblemItem,2625,4.25,54.06,16.11
BlightingJewel,348,4.26,54.02,13.22
WarmogsArmorRadiant,216,4.26,53.24,16.67
StatikkShiv,13806,4.26,54.54,14.34
JeweledGauntlet,19904,4.26,54.55,14.56
RapidFireCannon,12546,4.27,54.2,14.06
DeathbladeRadiant,192,4.27,52.6,16.67
AnomalyItem,3936,4.28,53.61,13.14
SpectralGauntlet,3203,4.28,53.92,11.9
Dawncore,516,4.29,52.91,11.05
StatikkShivRadiant,66,4.29,51.52,13.64
PulsefireEmblemItem,1078,4.29,54.36,14.29
Morellonomicon,11326,4.3,53.53,13.59
Fishbones,372,4.3,52.69,12.63
RunaansHurricaneRadiant,78,4.31,52.56,12.82
LastWhisper,8977,4.31,53.97,12.36
MaestrosBaton,62,4.31,53.23,16.13
ChemicalCapacitorMod,826,4.32,53.87,11.26
TheIndomitable,725,4.32,53.24,13.79
Radiant,1019,4.33,53.09,8.24
DroneMod,994,4.33,53.62,12.17
HellfireHatchet,277,4.34,55.6,12.27
RunaansHurricane,7925,4.34,53.32,13.01
OrnnHorizonFocus,326,4.34,53.99,14.11
NavoriFlickerblades,424,4.35,54.25,12.26
GargoyleStoneplate,27589,4.35,52.85,13.54
Leviathan,9024,4.35,53.27,12.8
TitansResolve,3109,4.35,52.49,11.97
ShieldTankEmblemItem,1525,4.36,51.93,13.97
EvelynnArtifact,565,4.36,55.58,10.09
ResistTankEmblemItem,1303,4.36,53.03,12.89
GuardianAngelRadiant,46,4.37,54.35,17.39
DRXEmblemItem,1598,4.37,53.0,13.14
AdaptiveHelmRadiant,41,4.37,53.66,14.63
ShimmerscaleMogulsMail,369,4.37,51.49,11.38
TargetlockMod,773,4.37,53.04,10.74
RedBuff,6674,4.37,52.85,11.82
Mittens,293,4.37,54.95,12.97
GrenadeMod,661,4.38,52.5,14.98
ShimmerscaleGamblersBlade,258,4.38,51.16,15.5
MeleeTraitEmblemItem,1015,4.39,52.71,11.53
SpearOfShojinRadiant,70,4.39,48.57,14.29
LudensTempest,210,4.39,52.38,11.9
ThreshLantern,794,4.39,51.13,12.34
WitsEnd,210,4.39,48.1,16.67
QuicksilverRadiant,47,4.4,53.19,12.77
SilvermereDawn,399,4.4,51.88,13.28
LichBane,248,4.4,48.79,8.87
LightshieldCrest,607,4.41,50.91,12.03
EternalPact,295,4.41,50.17,13.22
PrimordianEmblemItem,802,4.41,53.62,11.6
SummonTraitEmblemItem,1169,4.42,51.58,10.52
TitansResolveRadiant,40,4.42,52.5,12.5
OrnnTheCollector,296,4.43,53.04,11.15
RapidFirecannon,264,4.43,52.65,8.33
GuinsoosRageblade,14439,4.43,51.22,12.84
SeekersArmguard,242,4.43,52.89,11.57
AssassinTraitEmblemItem,1323,4.46,50.42,9.6
OrnnZhonyasParadox,241,4.47,49.38,13.69
RedemptionRadiant,71,4.48,52.11,11.27
AegisOfDusk,278,4.48,48.56,12.23
RangedTraitEmblemItem,997,4.49,49.75,15.65
SevikasJinxedArm,105,4.49,48.57,10.48
JeweledGauntletRadiant,158,4.51,48.1,11.39
ChromeCounter,67,4.51,47.76,7.46
OrnnHullbreaker,338,4.52,49.7,8.88
SorakaArtifact,1031,4.53,50.15,11.45
ASTraitEmblemItem,1185,4.53,49.87,10.8
ShimmerscaleCrownOfChampions,37,4.57,48.65,8.11
ChonccsChalice,37,4.57,48.65,8.11
AegisOfDawn,336,4.57,50.0,11.61
YasuoArtifact,276,4.57,48.91,7.25
PsyOpsEmblemItem,1108,4.58,48.29,9.48
VarusArtifact,382,4.58,49.21,10.21
TrapClawRadiant,86,4.6,48.84,9.3
CrownOfDemacia,449,4.62,48.78,8.91
LeviathanRadiant,143,4.62,49.65,11.19
ProwlersClaw,236,4.62,49.15,11.86
VoidGauntlet,285,4.63,47.72,10.18
LastWhisperRadiant,52,4.63,46.15,15.38
GuidingHex,323,4.69,44.58,18.58
NegatronCloak,1073,4.69,46.78,11.65
SparkingPrototype,577,4.71,46.45,14.21
SavageSlicer,258,4.73,43.41,15.89
ChonccsSpork,33,4.76,45.45,9.09
Support,30,4.77,46.67,16.67
TentacleSlam,390,4.78,43.85,17.18
ShimmerscaleGoldmancersStaff,110,4.79,45.45,12.73
TearOfTheGoddess,1218,4.8,43.43,10.59
ShimmerscaleDravensAxe,108,4.82,45.37,11.11
HandOfJusticeRadiant,45,4.82,44.44,4.44
FavoredEmblemItem,771,4.82,43.45,10.51
GiantsBelt,1797,4.83,44.52,10.24
GargoyleStoneplateRadiant,265,4.85,44.53,11.32
AnimaSquadEmblemItem,643,4.88,43.39,13.06
NeedlesslyLargeRod,1202,4.9,42.76,7.57
ChainVest,1221,4.9,42.83,9.42
ClunkyPrototype,668,4.91,42.81,11.98
RecurveBow,1378,4.93,42.74,8.49
BrambleVestRadiant,36,4.94,38.89,5.56
BFSword,1096,4.98,42.15,9.4
LeakyPrototype,520,4.99,41.54,10.96
SparringGloves,950,5.0,39.16,8.53
CappaJuice,182,5.07,36.26,8.79
ArchangelsStaffRadiant,23,5.09,39.13,4.35
RocketSwarm,235,5.09,39.57,13.19
Spatula,68,5.21,41.18,7.35
