comp,units,games,avg_place,top4_rate,win_rate,stability_score,estimated_level,estimated_gold,play_style,economy_type
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex",238,1.8,94.54,58.82,209.41,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench",27,1.33,100.0,66.67,197.38,8.5,45,Fast8,Greedy
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah",74,1.69,97.3,60.81,194.48,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex",68,1.69,100.0,60.29,194.46,8.5,45,Fast8,Greedy
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen",75,1.65,94.67,61.33,194.45,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench",44,1.57,97.73,61.36,192.74,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench",37,1.65,97.3,56.76,188.52,8.5,45,Fast8,Greedy
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor",30,1.67,100.0,56.67,188.17,8.5,45,Fast8,Greedy
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex",58,1.81,98.28,53.45,187.84,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex",20,1.75,100.0,50.0,183.0,8.5,45,Fast8,Greedy
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Morgana+Nunu+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Morgana,Nunu,Shen,Vex",51,1.92,94.12,50.98,182.16,8.5,45,Fast8,Greedy
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+Shen+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,Shen,TahmKench,Xayah",21,1.71,100.0,42.86,181.72,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench",35,1.89,97.14,42.86,179.25,8.5,45,Fast8,Greedy
AurelionSol+Blitzcrank+Fiora+Galio+Karma+Mordekaiser+TahmKench+Urgot,"AurelionSol,Blitzcrank,Fiora,Galio,Karma,Mordekaiser,TahmKench,Urgot",37,2.0,89.19,59.46,179.06,8.5,45,Fast8,Greedy
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Sona+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Sona,Vex",26,1.88,96.15,46.15,178.52,8.5,45,Fast8,Greedy
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Sona+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Sona,Vex",38,2.0,92.11,52.63,178.33,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona,Vex",84,2.21,90.48,44.05,177.72,8.0,35,Fast8,Standard
Aatrox+Bard+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Bard,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah",24,1.96,95.83,41.67,175.27,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex",71,2.21,92.96,38.03,175.02,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Jhin+Nami+Nasus+Ornn+Samira+Shen+Teemo,"Blitzcrank,Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen,Teemo",27,2.11,92.59,48.15,173.31,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Rhaast,Sona",46,2.13,95.65,34.78,172.99,8.5,45,Fast8,Greedy
Akali+Belveth+Briar+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast",41,2.17,95.12,34.15,171.03,8.5,45,Fast8,Greedy
AurelionSol+Bard+Blitzcrank+Galio+Karma+Mordekaiser+Morgana+Rhaast,"AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast",38,2.21,94.74,34.21,169.65,8.0,35,Fast8,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+PVE_ElderDragon+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,PVE_ElderDragon,Sona",20,2.1,95.0,30.0,168.0,8.5,45,Fast8,Greedy
Aatrox+Jax+Lulu+Maokai+Milio+Morgana+Pantheon+Rhaast+TwistedFate,"Aatrox,Jax,Lulu,Maokai,Milio,Morgana,Pantheon,Rhaast,TwistedFate",57,2.35,89.47,35.09,167.85,8.0,35,Fast8,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Pyke+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona,Vex",27,2.37,85.19,48.15,165.16,8.0,35,Fast8,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+Rhaast+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,Rhaast,TahmKench,Urgot",30,2.43,93.33,30.0,162.17,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench",195,3.32,74.36,17.44,157.87,8.0,35,Fast8,Standard
Bard+Galio+Gnar+Jhin+Karma+Poppy+Rammus+Rhaast,"Bard,Galio,Gnar,Jhin,Karma,Poppy,Rammus,Rhaast",35,2.69,97.14,20.0,156.39,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Morgana+Nami+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Ornn,Pantheon,Riven,Shen,TahmKench",26,2.65,88.46,23.08,153.13,8.0,35,Fast8,Standard
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,TahmKench,Xayah",337,3.5,70.62,16.02,153.03,8.0,35,Fast8,Standard
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Morgana,Nunu,Rhaast,TahmKench,Xayah",24,2.67,83.33,29.17,152.35,8.0,35,Fast8,Standard
Blitzcrank+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Nami,Nasus,Ornn,Samira,Shen",49,2.86,83.67,26.53,151.64,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Riven,Shen,TahmKench",116,3.14,78.45,17.24,151.19,8.0,35,Fast8,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona",28,2.75,92.86,14.29,150.63,8.0,35,Fast8,Standard
Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai,Rhaast",306,3.57,74.18,7.19,150.46,7.5,25,Level7 Roll,Standard
Blitzcrank+Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Blitzcrank,Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",34,2.76,88.24,14.71,149.51,8.0,35,Fast8,Standard
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira",44,2.93,81.82,25.0,148.19,8.0,35,Fast8,Standard
Bard+Karma+Lissandra+Morgana+Poppy+Rammus+Sona+Veigar,"Bard,Karma,Lissandra,Morgana,Poppy,Rammus,Sona,Veigar",30,2.77,83.33,13.33,146.5,8.0,35,Fast8,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Rhaast+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Rhaast,TahmKench,Urgot",161,3.55,76.4,4.97,145.14,7.5,25,Level7 Roll,Standard
Gwen+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen",22,2.91,68.18,40.91,144.66,8.0,35,Fast8,Standard
Akali+Belveth+Jinx+Kindred+Maokai+MissFortune+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,MissFortune,RekSai,Rhaast",39,2.92,87.18,5.13,143.8,8.0,35,Fast8,Standard
Bard+Corki+Fizz+Galio+Milio+Rammus+Riven+Shen,"Bard,Corki,Fizz,Galio,Milio,Rammus,Riven,Shen",90,3.27,78.89,8.89,142.39,8.0,35,Fast8,Standard
Blitzcrank+Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona,"Blitzcrank,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona",20,2.85,75.0,20.0,142.0,8.0,35,Fast8,Standard
Aatrox+Jax+Lulu+Maokai+Milio+Pantheon+Rhaast+TwistedFate,"Aatrox,Jax,Lulu,Maokai,Milio,Pantheon,Rhaast,TwistedFate",374,3.85,65.51,9.09,141.93,7.5,25,Level7 Roll,Standard
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,TahmKench,Xayah",46,3.2,78.26,23.91,141.47,8.0,35,Fast8,Standard
AurelionSol+Blitzcrank+Galio+Karma+Mordekaiser+Morgana+Rhaast,"AurelionSol,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast",105,3.46,75.24,11.43,140.13,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,TahmKench",52,3.25,82.69,13.46,139.92,8.0,35,Fast8,Standard
Akali+Belveth+Briar+Gwen+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Gwen,Jinx,Kindred,Maokai,RekSai,Rhaast",21,2.9,85.71,0.0,139.34,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Samira,Shen,TahmKench",22,3.14,86.36,13.64,139.21,8.0,35,Fast8,Standard
Chogath+Illaoi+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Illaoi,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",89,3.45,75.28,13.48,138.52,8.0,35,Fast8,Standard
Chogath+Ezreal+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Ezreal,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",45,3.24,75.56,15.56,136.75,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench",23,3.17,73.91,21.74,136.06,8.0,35,Fast8,Standard
Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven+Shen,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven,Shen",46,3.33,76.09,15.22,135.38,8.0,35,Fast8,Standard
AurelionSol+Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona,"AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona",128,3.77,66.41,14.84,134.75,7.5,25,Level7 Roll,Standard
Akali+Belveth+Diana+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Diana,Jinx,Kindred,Maokai,RekSai,Rhaast",24,3.21,87.5,0.0,134.43,8.0,35,Fast8,Standard
AurelionSol+Bard+Galio+Karma+Mordekaiser+Morgana+Nunu,"AurelionSol,Bard,Galio,Karma,Mordekaiser,Morgana,Nunu",45,3.47,75.56,20.0,133.64,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen",24,3.25,75.0,16.67,133.6,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen",25,3.36,80.0,16.0,133.35,8.0,35,Fast8,Standard
Bard+Karma+Lissandra+Poppy+Rammus+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar,Viktor",34,3.38,76.47,17.65,133.34,8.0,35,Fast8,Standard
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar",29,3.34,72.41,20.69,132.63,8.0,35,Fast8,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Vex",413,4.16,57.63,8.72,132.47,7.5,25,Level7 Roll,Standard
Akali+Belveth+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast",20,3.3,80.0,10.0,132.0,8.0,35,Fast8,Standard
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Shen,TahmKench",22,3.41,81.82,13.64,131.94,8.0,35,Fast8,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,TahmKench,Urgot",102,3.75,69.61,8.82,130.69,7.5,25,Level7 Roll,Standard
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah",148,3.97,61.49,10.14,130.51,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Vex",521,4.3,53.93,14.78,130.06,7.5,25,Level7 Roll,Standard
Corki+Fizz+Galio+Milio+Poppy+Rammus+Rhaast+Riven,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Rhaast,Riven",106,3.8,66.04,5.66,127.98,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Vex",519,4.38,50.87,16.38,127.75,7.5,25,Level7 Roll,Standard
Bard+Galio+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Veigar,"Bard,Galio,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Veigar",50,3.62,66.0,16.0,126.3,7.5,25,Level7 Roll,Standard
AurelionSol+Bard+Blitzcrank+Galio+Karma+Mordekaiser+Morgana,"AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana",34,3.56,67.65,17.65,126.28,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Teemo,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Teemo",57,3.77,63.16,26.32,126.27,7.5,25,Level7 Roll,Standard
AurelionSol+Bard+Fiora+Galio+Karma+TahmKench+Urgot,"AurelionSol,Bard,Fiora,Galio,Karma,TahmKench,Urgot",37,3.76,72.97,21.62,126.09,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Shen+Teemo,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Shen,Teemo",35,3.54,60.0,22.86,125.25,7.5,25,Level7 Roll,Standard
Corki+Fizz+Galio+Milio+Morgana+Poppy+Rammus+Riven,"Corki,Fizz,Galio,Milio,Morgana,Poppy,Rammus,Riven",42,3.62,76.19,2.38,125.11,7.5,25,Level7 Roll,Standard
Aatrox+Belveth+Kindred+Maokai+MissFortune+Ornn+Rhaast+Urgot,"Aatrox,Belveth,Kindred,Maokai,MissFortune,Ornn,Rhaast,Urgot",72,3.85,69.44,11.11,124.97,7.5,25,Level7 Roll,Standard
Aatrox+Caitlyn+Corki+Jax+Milio+Riven+Talon+TwistedFate,"Aatrox,Caitlyn,Corki,Jax,Milio,Riven,Talon,TwistedFate",78,3.83,67.95,6.41,124.14,7.5,25,Level7 Roll,Standard
Gwen+Nami+Nasus+Ornn+Samira+Shen,"Gwen,Nami,Nasus,Ornn,Samira,Shen",40,3.75,75.0,10.0,124.0,7.5,25,Level7 Roll,Standard
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Rhaast+Sona,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Rhaast,Sona",21,3.57,76.19,4.76,123.63,7.5,25,Level7 Roll,Standard
Gwen+Jhin+Nami+Nasus+Ornn+Samira,"Gwen,Jhin,Nami,Nasus,Ornn,Samira",27,3.7,70.37,11.11,121.46,7.5,25,Level7 Roll,Standard
Blitzcrank+Illaoi+Karma+Leblanc+Leona+Lissandra+Nunu+Sona,"Blitzcrank,Illaoi,Karma,Leblanc,Leona,Lissandra,Nunu,Sona",39,3.82,69.23,12.82,120.98,7.5,25,Level7 Roll,Standard
Gwen+Nami+Nasus+Ornn+Rammus+Samira,"Gwen,Nami,Nasus,Ornn,Rammus,Samira",33,3.79,69.7,12.12,120.71,7.5,25,Level7 Roll,Standard
Akali+Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Akali,Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot",106,4.1,58.49,5.66,118.92,7.5,25,Level7 Roll,Standard
Illaoi+Lissandra+Mordekaiser+Nami+Pyke+Rhaast+Viktor,"Illaoi,Lissandra,Mordekaiser,Nami,Pyke,Rhaast,Viktor",47,3.87,68.09,6.38,118.75,7.5,25,Level7 Roll,Standard
Bard+Galio+Karma+Lissandra+Poppy+Rammus+Sona+Veigar,"Bard,Galio,Karma,Lissandra,Poppy,Rammus,Sona,Veigar",50,3.82,62.0,8.0,118.3,7.5,25,Level7 Roll,Standard
Bard+Corki+Fizz+Galio+Gnar+Jhin+Poppy+Rammus,"Bard,Corki,Fizz,Galio,Gnar,Jhin,Poppy,Rammus",30,3.87,66.67,13.33,117.83,7.5,25,Level7 Roll,Standard
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona",27,3.78,66.67,7.41,117.38,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,RekSai,TahmKench,Urgot",72,4.06,65.28,2.78,116.63,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Graves+Illaoi+Karma+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Graves,Illaoi,Karma,Mordekaiser,Nunu,Sona",24,3.88,66.67,12.5,116.52,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Belveth,Fiora,Gragas,Graves,Kindred,Maokai,MasterYi,TahmKench,Urgot",73,4.12,61.64,10.96,116.43,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Belveth+Caitlyn+Jinx+Kindred+Maokai+RekSai,"Aatrox,Akali,Belveth,Caitlyn,Jinx,Kindred,Maokai,RekSai",22,3.82,68.18,4.55,115.57,7.5,25,Level7 Roll,Standard
AurelionSol+Chogath+Galio+Jhin+Kaisa+Karma+Mordekaiser+Nunu+TahmKench,"AurelionSol,Chogath,Galio,Jhin,Kaisa,Karma,Mordekaiser,Nunu,TahmKench",31,3.87,61.29,9.68,114.65,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,TahmKench",20,3.85,55.0,20.0,114.0,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Samira,Shen,TahmKench",34,4.0,67.65,5.88,113.92,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona",139,4.45,48.92,7.91,113.73,7.5,25,Level7 Roll,Standard
Illaoi+Karma+Leblanc+Leona+Lissandra+Morgana+Rhaast+Sona,"Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Rhaast,Sona",25,4.0,68.0,8.0,113.35,7.5,25,Level7 Roll,Standard
